condition,artifact,level,patient_id,modality,mse,psnr
ringing_L9,ringing,9,BraTS20_Training_006,t1ce,0.017033379524946213,17.686991768509742
ringing_L9,ringing,9,BraTS20_Training_006,t2,0.018226230517029762,17.393031412697592
ringing_L9,ringing,9,BraTS20_Training_010,flair,0.024028586223721504,16.192717811436214
ringing_L9,ringing,9,BraTS20_Training_010,t1,0.0187836941331625,17.262189922681507
ringing_L9,ringing,9,BraTS20_Training_010,t1ce,0.015643268823623657,18.056724914469953
ringing_L9,ringing,9,BraTS20_Training_010,t2,0.022350462153553963,16.507134922786598
ringing_L9,ringing,9,BraTS20_Training_016,flair,0.0061082313768565655,22.140845204386604
ringing_L9,ringing,9,BraTS20_Training_016,t1,0.016247151419520378,17.89222771991467
ringing_L9,ringing,9,BraTS20_Training_016,t1ce,0.012090431526303291,19.175581982171597
ringing_L9,ringing,9,BraTS20_Training_016,t2,0.017483100295066833,17.573815510122625
